user,timestamp,x-axis,y-axis,z-axis,activity
1,4.99E+12,0.69,10.8,-2.03,Walking
1,4.99E+12,6.85,7.44,-0.5,Walking
1,4.99E+12,0.93,5.63,-0.5,Walking
1,4.99E+12,-2.11,5.01,-0.69,Walking
1,4.99E+12,-4.59,4.29,-1.95,Walking
1,4.99E+12,12.41,11.18,7.82,Walking
1,4.99E+12,17.27,11.6,5.94,Walking
1,4.99E+12,1.42,8.43,-5.28,Walking
1,4.99E+12,-2.68,15.89,-0.38,Walking
1,4.99E+12,-1.38,9.92,-1.99,Walking
1,4.99E+12,1.57,10.46,-0.91,Walking
1,4.99E+12,4.02,9.81,-1.61,Walking
1,4.99E+12,4.94,7.59,-1.65,Walking
1,4.99E+12,4.75,7.21,-1.18,Walking
1,4.99E+12,3.34,7.31,-0.42,Walking
1,4.99E+12,2.6,9.19,-1.08,Walking
1,4.99E+12,7.31,12.07,1.23,Walking
1,4.99E+12,8.43,10.76,1.14,Walking
1,4.99E+12,10.53,12.03,3.68,Walking
1,4.99E+12,6.66,11.92,1.14,Walking
1,4.99E+12,2.49,17.86,-2.83,Walking
1,4.99E+12,-1.12,16.4,-5.6,Walking
1,4.99E+12,0,8.2,-0.76,Walking
1,4.99E+12,7.16,3.57,-0.72,Walking
1,4.99E+12,-0.8,4.29,-1.27,Walking
1,4.99E+12,-5.13,4.14,-1.95,Walking
1,4.99E+12,-3.17,7.74,4.71,Walking
1,4.99E+12,19.57,16.44,4.21,Walking
1,4.99E+12,7.08,5.09,-0.76,Walking
1,4.99E+12,0.15,16.13,-2.83,Walking
1,4.99E+12,-1.99,8.89,-3.98,Walking
1,4.99E+12,0.65,11.8,-1.12,Walking
1,4.99E+12,3.49,10.57,-1.33,Walking
1,4.99E+12,4.18,8.05,-1.33,Walking
1,4.99E+12,2.98,5.9,-2.22,Walking
1,4.99E+12,2.07,8.12,-2.3,Walking
1,4.99E+12,4.29,10.04,3.06,Walking
1,4.99E+12,6.74,10.88,-0.57,Walking
1,4.99E+12,10.92,11.11,2.91,Walking
1,4.99E+12,9.51,12.22,2.76,Walking
1,4.99E+12,4.52,14.25,-1.5,Walking
1,4.99E+12,2.91,15.64,-4.21,Walking
1,4.99E+12,2.49,15.09,-5.33,Walking
1,4.99E+12,2.34,8.69,0.27,Walking
1,4.99E+12,0.99,3.95,-1.5,Walking
1,4.99E+12,-2.18,2.49,-1.33,Walking
1,4.99E+12,-6.66,4.52,-3.26,Walking
1,4.99E+12,10.61,10.57,10.88,Walking
1,4.99E+12,17.43,14.56,6.51,Walking
1,5.10E+12,0.15,19.08,-4.29,Walking
1,5.10E+12,-3.87,17.43,-2.87,Walking
1,5.10E+12,-3.95,9.38,-1.84,Walking
1,5.10E+12,3.68,2.07,-0.99,Walking
1,5.10E+12,-2.07,2.45,-2.11,Walking
1,5.10E+12,-9,2.3,-2.22,Walking
1,5.10E+12,10.31,14.56,6.09,Walking
1,5.10E+12,12.18,15.09,2.96,Walking
1,5.10E+12,-3.21,4.86,1.5,Walking
1,5.10E+12,-1.57,18.7,-6.32,Walking
1,5.10E+12,-1.99,9.51,-3.49,Walking
1,5.10E+12,-0.69,9.89,-1.18,Walking
1,5.10E+12,0.69,9.43,-1.27,Walking
1,5.10E+12,2.37,5.86,-0.8,Walking
1,5.10E+12,2.87,6.47,-1.38,Walking
1,5.10E+12,3.34,12.68,2.64,Walking
1,5.10E+12,4.67,10.27,-0.5,Walking
1,5.10E+12,7.93,12.53,1.12,Walking
1,5.10E+12,12.22,13.02,3.79,Walking
1,5.10E+12,5.75,13.8,0.89,Walking
1,5.10E+12,0.23,19.5,-4.4,Walking
1,5.10E+12,-5.56,16.97,-2.26,Walking
1,5.10E+12,-5.01,8.01,-2.87,Walking
1,5.10E+12,3.91,0.8,-1.33,Walking
1,5.10E+12,-1.57,1.42,-1.8,Walking
1,5.10E+12,-8.81,2.76,-3.45,Walking
1,5.10E+12,10.23,16.25,6.74,Walking
1,5.10E+12,12.22,14.71,1.38,Walking
1,5.10E+12,0,6.32,-0.27,Walking
1,5.10E+12,-2.96,16.78,-3.76,Walking
1,5.10E+12,-3.02,10.23,-2.83,Walking
1,5.10E+12,-0.8,11.11,-1.27,Walking
1,5.10E+12,1.46,10.15,-1.5,Walking
1,5.10E+12,2.49,6.02,-1.14,Walking
1,5.10E+12,2.45,5.33,-0.91,Walking
1,5.10E+12,2.11,11.18,-0.84,Walking
1,5.10E+12,5.48,10.57,2.64,Walking
1,5.10E+12,8.08,14.86,1.65,Walking
1,5.10E+12,10.84,12.11,3.57,Walking
1,5.10E+12,4.18,13.02,-0.15,Walking
1,5.10E+12,-0.61,19.53,-6.17,Walking
1,5.10E+12,-5.28,16.02,1.23,Walking
1,5.10E+12,0.99,3.41,-1.76,Walking
1,5.10E+12,0.38,1.31,-0.72,Walking
1,5.10E+12,-5.33,1.04,-2.79,Walking
1,5.10E+12,-7.86,5.01,4.63,Walking
1,5.10E+12,19.53,19.34,-5.52,Walking
1,5.10E+12,5.75,7.59,0.11,Walking
1,5.10E+12,-0.53,17.31,-2.14,Walking
1,5.10E+12,-6.43,8.81,-7.46,Walking
1,5.10E+12,-4.02,13.1,-0.3,Walking
1,5.10E+12,0,9.96,-1.23,Walking
1,5.10E+12,3.15,7.44,-1.08,Walking
1,5.10E+12,3.45,6.59,-2.53,Walking
1,5.10E+12,2.41,9.77,1.95,Walking
1,5.39E+12,-4.99,-7.31,0.69,Jogging
1,5.39E+12,4.4,-7.16,2.53,Jogging
1,5.39E+12,9.08,1.54,10.27,Jogging
1,5.39E+12,0.27,4.4,-10.19,Jogging
1,5.39E+12,-14.79,7.08,-5.18,Jogging
1,5.39E+12,-19.61,-3.57,5.67,Jogging
1,5.39E+12,-19.38,-2.49,0.65,Jogging
1,5.39E+12,-18.24,5.98,-2.14,Jogging
1,5.39E+12,-3.17,9.58,6.82,Jogging
1,5.39E+12,0.19,10.5,5.09,Jogging
1,5.39E+12,4.48,9.28,3.34,Jogging
1,5.39E+12,0.19,3.76,-0.91,Jogging
1,5.39E+12,-18.62,12.45,-3.91,Jogging
1,5.39E+12,-19.61,-3.26,1.27,Jogging
1,5.39E+12,-9.08,-10.11,9.53,Jogging
1,5.39E+12,-0.3,-3.91,-7.55,Jogging
1,5.39E+12,13.63,-6.74,12.57,Jogging
1,5.39E+12,-4.4,8.35,-8.12,Jogging
1,5.39E+12,-1.76,3.02,-2.75,Jogging
1,5.39E+12,-13.57,-1.88,-4.52,Jogging
1,5.39E+12,-19.19,-2.49,6.97,Jogging
1,5.39E+12,-19.42,3.91,4.75,Jogging
1,5.39E+12,-11.3,6.7,-6.24,Jogging
1,5.39E+12,-3.3,9.23,9.04,Jogging
1,5.39E+12,1.84,8.89,4.25,Jogging
1,5.39E+12,3.95,7.63,0.69,Jogging
1,5.39E+12,-2.37,5.37,-1.65,Jogging
1,5.39E+12,-19.34,14.29,-4.02,Jogging
1,5.39E+12,-19.3,-5.52,6.36,Jogging
1,5.39E+12,-8.47,-7.74,6.21,Jogging
1,5.39E+12,-1.04,-5.37,-5.33,Jogging
1,5.39E+12,13.87,-8.2,14.52,Jogging
1,5.39E+12,-1.31,4.1,-7.35,Jogging
1,5.39E+12,-0.76,3.3,-4.33,Jogging
1,5.39E+12,-18.2,4.37,-5.86,Jogging
1,5.39E+12,-18.28,-3.83,7.89,Jogging
1,5.39E+12,-19.61,0.46,1.61,Jogging
1,5.39E+12,-12.07,9.11,-5.28,Jogging
1,5.39E+12,-0.72,9.3,11.26,Jogging
1,5.39E+12,3.68,11.11,3.76,Jogging
1,5.39E+12,3.34,3.38,0.72,Jogging
1,5.39E+12,-12.34,8.24,-2.45,Jogging
1,5.39E+12,-19.61,6.78,-6.78,Jogging
1,5.39E+12,-13.57,-10.46,15.21,Jogging
1,5.39E+12,-3.68,-6.4,-0.46,Jogging
1,5.39E+12,4.48,-7.78,2.18,Jogging
1,5.39E+12,8.92,1.8,9.23,Jogging
1,5.39E+12,1.18,3.53,-10.88,Jogging
1,5.39E+12,-6.85,4.6,-4.1,Jogging
1,5.39E+12,-19.61,-2.87,2.45,Jogging
1,5.39E+12,-19.11,-8.47,8.43,Jogging
1,5.39E+12,-17.5,4.67,7.67,Jogging
1,5.39E+12,-5.2,5.43,-2.68,Jogging
1,5.39E+12,0.19,10.46,11.75,Jogging
1,5.39E+12,2.53,9.62,1.76,Jogging
1,5.39E+12,1.14,1.99,-0.61,Jogging
1,5.39E+12,-18.07,11.18,-1.88,Jogging
1,5.39E+12,-19.61,-5.05,2.45,Jogging
1,5.39E+12,-10.46,-13.02,8.5,Jogging
1,5.39E+12,-1.92,-6.74,-4.48,Jogging
1,5.39E+12,9.15,-5.63,9.15,Jogging
1,5.39E+12,2.45,7.59,1.27,Jogging
1,5.39E+12,-1.14,5.41,-11.95,Jogging
1,5.39E+12,-3.68,-1.12,1.33,Jogging
1,5.39E+12,-19.61,-3.36,-2.45,Jogging
1,5.39E+12,-18.39,-5.2,2.49,Jogging
1,5.39E+12,-12.98,8.47,2.11,Jogging
1,5.39E+12,-4.14,4.9,3.06,Jogging
1,5.39E+12,0.89,8.81,6.21,Jogging
1,5.39E+12,3.06,6.63,2.72,Jogging
1,5.39E+12,-0.89,4.67,-1.95,Jogging
1,5.39E+12,-19.5,14.56,-3.17,Jogging
1,5.39E+12,-18.12,-10.88,7.97,Jogging
1,5.39E+12,-6.47,-9.11,4.6,Jogging
1,5.39E+12,-1.12,-4.75,-4.33,Jogging
1,5.39E+12,14.21,-4.1,13.8,Jogging
1,5.39E+12,-1.08,4.56,-8.05,Jogging
1,5.39E+12,-1.92,4.9,-5.18,Jogging
1,5.39E+12,-12.79,-3.57,-6.13,Jogging
1,5.39E+12,-19.61,-5.82,4.82,Jogging
1,5.39E+12,-18.77,0.76,8.66,Jogging
1,5.39E+12,-9.92,4.99,-10,Jogging
1,5.39E+12,-0.38,8.43,12.22,Jogging
1,5.62E+12,-1.14,11.84,0.72,Jogging
1,5.71E+12,1.95,2.6,-2.41,Walking
1,5.71E+12,-1.8,0.23,-2.6,Walking
1,5.71E+12,-4.94,-2.41,-3.02,Walking
1,5.71E+12,-12.72,17.5,9.72,Walking
1,5.71E+12,-4.94,8.28,5.98,Walking
1,5.71E+12,-10.46,0.5,-5.98,Walking
1,5.71E+12,-16.24,7.5,-3.95,Walking
1,5.71E+12,-7.16,4.63,-0.65,Walking
1,5.71E+12,-8.27,5.63,0.34,Walking
1,5.71E+12,-6.59,5.52,-2.03,Walking
1,5.71E+12,-3.72,4.1,-2.03,Walking
1,5.71E+12,-4.52,7.55,-2.03,Walking
1,5.71E+12,-8.58,9.85,-0.69,Walking
1,5.71E+12,-8.5,10.99,1.61,Walking
1,5.71E+12,-6.66,11.6,7.7,Walking
1,5.71E+12,-3.36,15.94,2.91,Walking
1,5.71E+12,-10.61,9.3,0.76,Walking
1,5.71E+12,-18.81,11.96,-2.96,Walking
1,5.71E+12,-18.31,1.5,-3.41,Walking
1,5.71E+12,-6.7,0.11,1.46,Walking
1,5.71E+12,0.38,3.57,-0.38,Walking
1,5.71E+12,-2.14,1.84,-3.36,Walking
1,5.71E+12,-4.37,-3.3,-2.87,Walking
1,5.71E+12,-10.19,9.81,8.96,Walking
1,5.71E+12,-9.34,16.02,5.75,Walking
1,5.71E+12,-10.76,0.72,-3.53,Walking
1,5.71E+12,-11.65,2.68,-3.26,Walking
1,5.71E+12,-10.99,5.48,-2.11,Walking
1,5.71E+12,-9.28,6.21,0.11,Walking
1,5.71E+12,-5.9,4.86,-2.45,Walking
1,5.71E+12,-4.14,4.67,-2.26,Walking
1,5.71E+12,-4.71,7.74,-1.76,Walking
1,5.71E+12,-7.89,10,-0.76,Walking
1,5.71E+12,-8.12,10.57,2.98,Walking
1,5.71E+12,-6.55,11.14,7.06,Walking
1,5.71E+12,-4.79,13.76,0.99,Walking
1,5.88E+12,-10.42,17.5,-3.72,Walking
1,5.88E+12,-10.27,7.27,0.69,Walking
1,5.88E+12,-1.42,2.56,1.33,Walking
1,5.88E+12,-0.53,0.76,-2.22,Walking
1,6.02E+12,19.11,19.57,-1.53,Jogging
1,6.02E+12,14.71,15.36,-0.91,Jogging
1,6.02E+12,8.81,11.35,-1.14,Jogging
1,6.02E+12,10.8,7.7,5.56,Jogging
1,6.02E+12,5.94,-0.8,7.16,Jogging
1,6.02E+12,9.58,-8.08,8.28,Jogging
1,6.02E+12,9.77,-4.25,0.19,Jogging
1,6.02E+12,19.08,5.98,2.91,Jogging
1,6.02E+12,19.57,19.04,0.69,Jogging
1,6.02E+12,4.06,16.25,-1.69,Jogging
1,6.02E+12,-3.49,5.67,1.92,Jogging
1,6.58E+12,-9.47,7.27,1.14,Downstairs
1,6.58E+12,-9.47,7.27,1.14,Downstairs
1,6.58E+12,-3.34,8.96,-1.38,Downstairs
1,6.58E+12,-3.26,12.6,3.99,Downstairs
1,6.58E+12,-14.9,13.29,1.12,Downstairs
1,6.58E+12,-15.47,2.26,1.27,Downstairs
1,6.58E+12,-14.14,2.64,-0.42,Downstairs
1,6.58E+12,-7.86,6.36,0.19,Downstairs
1,6.58E+12,2.07,8.47,8.08,Downstairs
1,6.58E+12,-8.92,1.31,3.02,Downstairs
1,6.58E+12,-15.51,6.05,-6.89,Downstairs
1,6.58E+12,-12.03,0.31,-0.38,Downstairs
1,6.58E+12,-8.77,1.61,3.95,Downstairs
1,6.58E+12,-10.88,3.87,0.5,Downstairs
1,6.58E+12,-11.6,8.58,0.95,Downstairs
1,6.58E+12,-1.08,14.06,-1.5,Downstairs
1,6.58E+12,3.91,8.05,7.4,Downstairs
1,6.58E+12,-12.11,9.72,0.34,Downstairs
1,6.58E+12,-16.59,8.12,-1.27,Downstairs
1,6.58E+12,-11.33,0.11,0.76,Downstairs
1,6.58E+12,-10.19,3.15,0.65,Downstairs
1,6.58E+12,-3.11,14.48,-0.65,Downstairs
1,6.58E+12,-3.11,0.57,12.6,Downstairs
1,6.58E+12,-8.54,-1.12,-4.18,Downstairs
1,6.58E+12,-16.04,2.45,-6.7,Downstairs
1,6.58E+12,-12.83,-0.61,3.49,Downstairs
1,6.58E+12,-8.5,3.41,1.95,Downstairs
1,6.61E+12,7.01,9.72,-0.27,Upstairs
1,6.61E+12,0.8,3.34,2.68,Upstairs
1,6.61E+12,-19.61,19.57,-10.95,Upstairs
1,6.61E+12,-10.57,6.59,11.92,Upstairs
1,6.61E+12,-4.94,1.92,3.6,Upstairs
1,6.61E+12,-3.68,-0.72,-4.82,Upstairs
1,6.61E+12,3.87,-3.98,0.38,Upstairs
1,6.61E+12,9.08,-2.96,-0.89,Upstairs
1,6.61E+12,4.1,1.04,-1.14,Upstairs
1,6.61E+12,-15.62,16.32,-11.95,Upstairs
1,6.61E+12,-17.46,16.63,7.25,Upstairs
1,6.61E+12,-5.37,0.99,3.99,Upstairs
1,6.61E+12,-6.85,11.73,5.33,Upstairs
1,6.61E+12,0.23,12.3,2.79,Upstairs
1,6.61E+12,7.74,9.92,0.34,Upstairs
1,6.61E+12,3.06,-0.08,2.26,Upstairs
1,6.61E+12,-10,13.25,-5.9,Upstairs
1,6.61E+12,-19.61,16.25,-1.5,Upstairs
1,6.61E+12,-5.48,3.95,13.02,Upstairs
1,6.61E+12,-6.21,0.23,0.93,Upstairs
1,6.61E+12,-1.5,-1.57,-2.6,Upstairs
1,6.61E+12,4.86,-3.41,0.15,Upstairs
1,6.61E+12,6.85,0.42,-4.29,Upstairs
1,6.61E+12,-6.59,8.85,-5.01,Upstairs
1,6.61E+12,-19.61,19.23,1.57,Upstairs
1,6.61E+12,-11.8,6.17,8.24,Upstairs
1,6.61E+12,-8.66,8.08,1.8,Upstairs
1,6.61E+12,-0.84,13.06,2.49,Upstairs
1,6.61E+12,4.06,12.26,-0.91,Upstairs
1,6.61E+12,8.96,3.72,4.63,Upstairs
1,6.61E+12,1.76,3.72,2.91,Upstairs
1,6.61E+12,-19.61,19.57,-8.35,Upstairs
1,6.61E+12,-10.65,1.84,13.33,Upstairs
1,6.61E+12,-10.65,1.84,13.33,Upstairs
1,6.61E+12,-6.05,1.33,0.38,Upstairs
1,6.61E+12,0,-1.33,-0.34,Upstairs
1,6.61E+12,6.55,-2.18,-1.84,Upstairs
1,6.61E+12,6.93,2.22,-3.79,Upstairs
1,6.61E+12,-11.18,15.64,-8.47,Upstairs
1,6.61E+12,-19.15,17.47,7.7,Upstairs
1,6.61E+12,-13.87,2.64,8.24,Upstairs
1,6.61E+12,-12.15,6.59,-3.02,Upstairs
1,6.61E+12,-2.98,9.96,5.6,Upstairs
1,6.61E+12,0.38,10.84,3.34,Upstairs
1,6.61E+12,8.58,9.72,-1.57,Upstairs
1,6.61E+12,2.34,1.18,2.87,Upstairs
1,6.61E+12,-8.62,13.67,-8.08,Upstairs
1,6.61E+12,-19.61,17.92,4.4,Upstairs
1,6.61E+12,-4.1,6.02,14.71,Upstairs
1,6.61E+12,-8.31,2.79,-1.31,Upstairs
1,6.61E+12,-2.64,-0.53,-2.53,Upstairs
1,6.61E+12,6.28,-1.99,-2.79,Upstairs
1,6.61E+12,7.82,-0.34,-3.15,Upstairs
1,6.61E+12,-9,11.5,-7.21,Upstairs
1,6.61E+12,-16.66,13.72,2.64,Upstairs
1,6.61E+12,-5.86,5.67,2.6,Upstairs
1,6.61E+12,-6.82,3.72,3.91,Upstairs
1,6.61E+12,-6.97,7.01,1.31,Upstairs
1,6.61E+12,-5.9,5.48,-0.84,Upstairs
1,6.61E+12,-4.75,7.55,-2.34,Upstairs
1,6.61E+12,-5.56,10.12,-0.46,Upstairs
1,6.61E+12,-1.76,13.18,11.07,Upstairs
1,6.61E+12,-6.13,13.33,0.53,Upstairs
1,6.61E+12,-10.19,11.65,-0.11,Upstairs
1,6.61E+12,-14.6,14.33,-4.06,Upstairs
1,6.61E+12,-14.25,11.69,-10.99,Upstairs
1,6.61E+12,-7.63,4.67,-7.46,Upstairs
1,6.61E+12,-6.78,-1.27,3.49,Upstairs
1,6.61E+12,-11.92,-0.38,4.18,Upstairs
1,6.61E+12,-6.82,0.69,-1.8,Upstairs
1,6.61E+12,-11.84,7.16,10.12,Upstairs
1,6.61E+12,-8.12,13.06,-5.82,Upstairs
1,6.61E+12,-0.23,5.79,-3.15,Upstairs
1,6.61E+12,-9.92,14.1,-0.34,Upstairs
1,6.87E+12,2.49,13.14,-4.86,Downstairs
1,6.87E+12,-0.42,14.9,-5.2,Downstairs
1,6.87E+12,-3.45,7.93,5.09,Downstairs
1,6.87E+12,1.33,10.46,0.61,Downstairs
1,6.87E+12,2.96,13.82,-1.53,Downstairs
1,6.87E+12,4.06,9.92,-1.76,Downstairs
1,6.87E+12,5.71,5.22,-0.65,Downstairs
1,6.87E+12,10,5.6,-0.08,Downstairs
1,6.87E+12,11.69,15.05,1.99,Downstairs
1,6.87E+12,-1.46,16.51,1.08,Downstairs
1,6.87E+12,-1.73,14.02,-1.12,Downstairs
1,6.87E+12,0,8.58,0.46,Downstairs
1,6.87E+12,0.27,7.46,-2.11,Downstairs
1,6.87E+12,2.34,13.59,-1.18,Downstairs
1,6.87E+12,4.67,19.57,2.53,Downstairs
1,6.87E+12,-2.64,12.83,5.98,Downstairs
1,6.87E+12,-1.99,10.08,-2.34,Downstairs
1,6.87E+12,-1.08,5.71,2.96,Downstairs
1,6.87E+12,-1.99,5.75,-0.42,Downstairs
1,6.87E+12,-1.38,7.31,-1.76,Downstairs
1,6.87E+12,0,9.11,-0.69,Downstairs
1,6.87E+12,8.81,17.35,-6.17,Downstairs
1,6.87E+12,11.56,12.03,-3.34,Downstairs
1,6.87E+12,-6.28,7.31,1.5,Downstairs
1,6.87E+12,0.46,13.29,-0.8,Downstairs
1,6.87E+12,0.46,13.29,-0.8,Downstairs
1,6.87E+12,-0.11,12.57,-1.14,Downstairs
1,6.87E+12,-0.76,8.28,-0.99,Downstairs
1,6.87E+12,0.08,10.27,-5.82,Downstairs
1,6.87E+12,1.42,9.19,-3.21,Downstairs
1,6.87E+12,3.17,8.24,-3.06,Downstairs
1,6.87E+12,5.63,11.07,-3.06,Downstairs
1,6.87E+12,8.05,12.41,-2.64,Downstairs
1,6.87E+12,15.4,13.4,12.87,Downstairs
1,6.87E+12,0.53,12.3,0.93,Downstairs
1,6.87E+12,1.18,19.53,6.05,Downstairs
1,6.87E+12,-4.67,3.3,6.05,Downstairs
1,6.87E+12,-4.67,3.3,6.05,Downstairs
1,6.87E+12,-0.46,2.87,-1.57,Downstairs
1,6.87E+12,2.37,4.82,-2.26,Downstairs
1,6.87E+12,3.79,11.3,-1.53,Downstairs
1,6.87E+12,0.31,9.34,0.42,Downstairs
1,6.87E+12,1.18,10,2.26,Downstairs
1,6.87E+12,6.44,10.88,-0.76,Downstairs
1,6.87E+12,9.43,9.85,-1.84,Downstairs
1,6.87E+12,2.07,16.47,0.95,Downstairs
1,6.87E+12,-1.65,13.21,-0.69,Downstairs
1,6.87E+12,0.61,11.26,-0.57,Downstairs
1,6.87E+12,6.17,9.34,-4.44,Downstairs
1,6.87E+12,10.5,1.99,5.52,Downstairs
1,6.87E+12,0.53,7.25,4.02,Downstairs
1,6.87E+12,0.93,15.13,-5.28,Downstairs
1,6.87E+12,-5.86,14.63,0.69,Downstairs
1,6.87E+12,-6.17,11.56,3.26,Downstairs
1,6.87E+12,5.41,16.09,-2.87,Downstairs
1,6.87E+12,4.86,7.86,-0.5,Downstairs
1,6.87E+12,12.34,6.36,3.17,Downstairs
1,6.87E+12,10.27,15.6,2.34,Downstairs
1,6.87E+12,0.89,15.75,-0.95,Downstairs
1,6.87E+12,-1.27,18.39,-2.14,Downstairs
1,6.87E+12,0.65,9.23,-0.76,Downstairs
1,6.87E+12,4.67,4.71,-3.02,Downstairs
1,6.87E+12,-0.61,0.95,7.82,Downstairs
1,6.87E+12,-1.53,8.31,-2.14,Downstairs
1,6.87E+12,-0.46,17.2,-5.28,Downstairs
1,6.87E+12,-1.46,12.53,-0.91,Downstairs
1,6.87E+12,1.38,4.67,7.93,Downstairs
1,6.87E+12,6.24,7.78,1.57,Downstairs
1,6.87E+12,5.9,10.95,1.18,Downstairs
1,6.87E+12,12.3,18.96,-3.02,Downstairs
1,6.87E+12,1.23,10.53,0.34,Downstairs
1,6.87E+12,2.87,9.81,-1.27,Downstairs
1,6.87E+12,5.63,7.89,-2.37,Downstairs
1,6.87E+12,-3.21,0.61,8.28,Downstairs
1,6.87E+12,0.19,7.97,-3.57,Downstairs
1,6.87E+12,4.1,19.04,-5.56,Downstairs
1,6.87E+12,-5.41,11.37,9.28,Downstairs
1,6.87E+12,2.41,12.95,-1.46,Downstairs
1,6.87E+12,7.01,12.57,-1.23,Downstairs
1,6.87E+12,11.03,3.87,4.14,Downstairs
1,6.87E+12,4.71,1.46,1.42,Downstairs
1,6.87E+12,7.59,18.66,-3.76,Downstairs
1,6.87E+12,0.42,13.25,-0.34,Downstairs
1,6.87E+12,1.14,6.36,1.5,Downstairs
1,6.87E+12,4.63,6.17,-6.02,Downstairs
1,6.87E+12,-0.42,6.85,3.68,Downstairs
1,6.87E+12,-4.02,9.47,1.04,Downstairs
1,6.87E+12,-1.53,18.81,-5.37,Downstairs
1,6.87E+12,-3.49,10.8,5.52,Downstairs
1,6.87E+12,6.74,11.96,-0.15,Downstairs
1,6.87E+12,7.31,8.08,-1.38,Downstairs
1,6.87E+12,2.91,1.42,1.73,Downstairs
1,6.87E+12,8.73,11.73,-0.84,Downstairs
1,6.87E+12,7.25,16.89,-0.3,Downstairs
1,6.87E+12,-5.18,11.99,5.09,Downstairs
1,6.87E+12,0.53,13.38,-1.84,Downstairs
1,6.87E+12,9.38,6.7,-4.02,Downstairs
1,6.87E+12,-1.18,6.21,11.75,Downstairs
1,6.87E+12,-2.6,11.03,-6.63,Downstairs
1,6.87E+12,-3.06,15.7,-2.34,Downstairs
1,6.87E+12,-5.71,7.74,7.7,Downstairs
1,6.87E+12,4.21,11.35,-1.57,Downstairs
1,6.87E+12,6.55,8.01,-1.76,Downstairs
1,6.87E+12,9.38,11.6,-0.84,Downstairs
1,6.87E+12,12.22,18.66,4.14,Downstairs
1,6.87E+12,-2.07,9.89,2.15,Downstairs
1,6.87E+12,-2.91,13.21,1.18,Downstairs
1,6.87E+12,-1.46,13.82,-2.07,Downstairs
1,6.87E+12,-1.53,6.85,-2.79,Downstairs
1,6.87E+12,2.79,17.24,9.96,Downstairs
1,6.87E+12,3.72,19.19,-4.82,Downstairs
1,6.87E+12,1.88,11.8,0.15,Downstairs
1,6.87E+12,-1.8,8.96,2.91,Downstairs
1,6.87E+12,-3.06,6.78,0.34,Downstairs
1,6.87E+12,-3.83,5.86,-3.45,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.87E+12,-1.27,5.94,-1.8,Downstairs
1,6.88E+12,0.04,8.73,-0.04,Downstairs
1,6.88E+12,0.08,10.19,-2.18,Downstairs
1,6.88E+12,0.57,10.57,-1.73,Downstairs
1,6.88E+12,2.3,10.84,-2.18,Downstairs
1,6.88E+12,4.21,10.42,-2.64,Downstairs
1,6.88E+12,4.86,8.43,-1.76,Downstairs
1,6.88E+12,7.86,11.75,2.53,Downstairs
1,6.88E+12,2.87,12.26,11.88,Downstairs
1,6.88E+12,0.53,14.71,-3.21,Downstairs
1,6.88E+12,-2.56,18.24,-3.64,Downstairs
1,6.88E+12,-4.18,5.05,4.06,Downstairs
1,6.88E+12,-3.36,2.64,0.53,Downstairs
1,6.88E+12,-0.95,3.3,-3.06,Downstairs
1,6.88E+12,1.65,7.74,-0.61,Downstairs
1,6.88E+12,4.4,16.63,-1.8,Downstairs
1,6.88E+12,4.4,16.63,-1.8,Downstairs
1,6.88E+12,3.53,7.5,1.46,Downstairs
1,6.88E+12,4.56,6.93,0.19,Downstairs
1,6.88E+12,10.42,12.68,-2.3,Downstairs
1,6.88E+12,2.03,12.68,2.72,Downstairs
1,6.88E+12,-3.34,17.08,-0.08,Downstairs
1,6.88E+12,2.72,10,-1.38,Downstairs
1,6.88E+12,10.34,6.74,-5.75,Downstairs
1,6.88E+12,4.75,6.09,7.06,Downstairs
1,6.88E+12,-1.76,12.22,1.27,Downstairs
1,6.88E+12,-1.92,17.62,-5.52,Downstairs
1,6.88E+12,-6.89,10.42,1.18,Downstairs
1,6.88E+12,-3.26,12.34,3.06,Downstairs
1,6.88E+12,4.29,12.57,-2.41,Downstairs
1,6.88E+12,4.56,8.69,-0.42,Downstairs
1,6.88E+12,14.48,7.08,-0.23,Downstairs
1,6.88E+12,9.43,12.57,4.21,Downstairs
1,6.88E+12,-1.84,17.24,0.84,Downstairs
1,6.88E+12,-0.72,16.89,-2.83,Downstairs
1,6.88E+12,1.23,14.1,-0.91,Downstairs
1,6.88E+12,2.72,7.06,-4.18,Downstairs
1,6.88E+12,6.82,5.13,-0.89,Downstairs
1,6.88E+12,-0.57,8.35,7.67,Downstairs
